name,ascii_atom,weight
Bertolini,bertolini,2
Bertolotti,bertolotti,1
Bettini,bettini,2
Bevilacqua,bevilacqua,2
Biagini,biagini,1
Bianchi,bianchi,4
Bianco,bianco,2
Bini,bini,2
Biondi,biondi,2
Bisconti,bisconti,2
Bizzarri,bizzarri,1
Bo,bo,1
Bocchi,bocchi,1
Boccia,boccia,2
Boeri,boeri,1
Bonaccorsi,bonaccorsi,1
Bonacina,bonacina,1
Bonaldi,bonaldi,2
Bonanni,bonanni,2
Bonanno,bonanno,2
Bonaventura,bonaventura,2
Bonetti,bonetti,2
Bonfanti,bonfanti,1
Bongiorno,bongiorno,1
Boni,boni,2
Bonini,bonini,1
Borghi,borghi,2
Borrelli,borrelli,2
Borri,borri,2
Borsellino,borsellino,1
Bortolotti,bortolotti,2
Boschetti,boschetti,2
Boscolo,boscolo,2
Bottaro,bottaro,2
Brambilla,brambilla,1
Brancato,brancato,1
Brandi,brandi,2
Briganti,briganti,1
Brizzi,brizzi,2
Brogi,brogi,2
Brugnone,brugnone,1
Bruni,bruni,1
Bruno,bruno,4
Bucci,bucci,2
Buffa,buffa,2
Buratti,buratti,1
Buscemi,buscemi,2
Buzzi,buzzi,1
Caccia,caccia,1
Cadeddu,cadeddu,2
Cafaro,cafaro,2
Caldarola,caldarola,1
Callegari,callegari,2
Calligaris,calligaris,1
Calvani,calvani,2
Caminiti,caminiti,1
Campagnaro,campagnaro,1
Campana,campana,2
Campanella,campanella,2
Campisi,campisi,2
Canale,canale,2
Canepa,canepa,1
Cannata,cannata,2
Cannavaro,cannavaro,1
Capanna,capanna,2
Capasso,capasso,1
Capecchi,capecchi,1
Capelli,capelli,1
Capobianco,capobianco,2
Capodanno,capodanno,2
Capone,capone,4
Caporali,caporali,2
Cappelli,cappelli,1
Capuano,capuano,2
Caputo,caputo,4
Caracci,caracci,1
Caracciolo,caracciolo,2
Carbone,carbone,2
Carboni,carboni,1
Cardone,cardone,1
Carinci,carinci,2
Carletti,carletti,1
Carli,carli,2
Carlini,carlini,2
Carlone,carlone,2
Caroli,caroli,2
Carotenuto,carotenuto,2
Carrara,carrara,1
Caruso,caruso,4
Casadei,casadei,2
Casagrande,casagrande,1
Casale,casale,2
Casati,casati,1
Casazza,casazza,1
Casella,casella,2
Caselli,caselli,1
Cassano,cassano,2
Castagna,castagna,2
Castagnoli,castagnoli,1
Castaldo,castaldo,2
Castellani,castellani,2
Castellano,castellano,2
Castelli,castelli,4
Catalano,catalano,4
Cattaneo,cattaneo,4
Cavallaro,cavallaro,1
Cavalli,cavalli,2
Ceccarelli,ceccarelli,4
Cecchi,cecchi,2
Cecconi,cecconi,1
Cecere,cecere,2
Celli,celli,2
Ceriani,ceriani,1
Cerulli,cerulli,2
Cesarini,cesarini,1
Chiarini,chiarini,2
Chiesa,chiesa,1
Chimenti,chimenti,2
Ciampi,ciampi,2
Ciavarella,ciavarella,1
Cicala,cicala,2
Cioffi,cioffi,2
Cipriani,cipriani,1
Clemente,clemente,2
Colangelo,colangelo,2
Colasanti,colasanti,2
Colletti,colletti,1
Colli,colli,2
Colombo,colombo,4
Colucci,colucci,2
Comi,comi,2
Comin,comin,2
Compagnoni,compagnoni,2
Confalonieri,confalonieri,1
Conforti,conforti,2
Consiglio,consiglio,2
Conte,conte,2
Conti,conti,2
Coppola,coppola,4
Corbo,corbo,1
Cordaro,cordaro,1
Corradi,corradi,1
Corradini,corradini,2
Corrias,corrias,2
Corsi,corsi,2
Corti,corti,1
Cosentino,cosentino,2
Cosimi,cosimi,2
Costa,costa,4
Costantini,costantini,4
Crespi,crespi,2
Croce,croce,2
Cuomo,cuomo,2
D'Agostino,dagostino,4
D'Alessandro,dalessandro,2
D'Amato,damato,4
D'Amico,damico,2
D'Andrea,dandrea,4
D'Angelo,dangelo,4
D'Anna,danna,1
D'Arrigo,darrigo,2
D'Auria,dauria,1
D'Avino,davino,1
D'Elia,delia,2
D'Errico,derrico,1
D'Onofrio,donofrio,2
D'Orsi,dorsi,2
D'Urso,durso,1
Dagnino,dagnino,1
Dal Lago,dal-lago,1
Dall'Ara,dallara,1
Dalla Costa,dalla-costa,4
Dalla Torre,dalla-torre,2
Dalla Valle,dalla-valle,2
Damiani,damiani,4
De Amicis,de-amicis,1
De Angelis,de-angelis,2
De Benedetti,de-benedetti,2
De Carlo,de-carlo,2
De Dominicis,de-dominicis,2
De Felice,de-felice,1
De Filippo,de-filippo,2
De Gennaro,de-gennaro,1
De Giorgi,de-giorgi,2
De Lellis,de-lellis,1
De Leo,de-leo,2
De Lorenzo,de-lorenzo,2
De Luca,de-luca,2
De Maio,de-maio,1
De Marco,de-marco,4
De Martino,de-martino,4
De Matteis,de-matteis,2
De Mita,de-mita,2
De Nigris,de-nigris,2
De Paoli,de-paoli,2
De Pasquale,de-pasquale,1
De Rosa,de-rosa,4
De Santis,de-santis,4
De Simone,de-simone,4
De Stefano,de-stefano,1
De Vito,de-vito,1
Del Conte,del-conte,1
Del Giudice,del-giudice,1
Del Prete,del-prete,2
Del Vecchio,del-vecchio,1
Dell'Acqua,dellacqua,1
Dell'Olio,dellolio,2
Della Gatta,della-gatta,1
Della Valle,della-valle,2
Di Bella,di-bella,1
Di Blasio,di-blasio,1
Di Carlo,di-carlo,1
Di Cioccio,di-cioccio,1
Di Domenico,di-domenico,1
Di Donato,di-donato,1
Di Fiore,di-fiore,1
Di Giovanni,di-giovanni,1
Di Lernia,di-lernia,1
Di Martino,di-martino,1
Di Mauro,di-mauro,1
Di Nardo,di-nardo,1
Di Noia,di-noia,1
Di Paola,di-paola,1
Di Pietro,di-pietro,2
Di Stefano,di-stefano,2
Donati,donati,4
Durante,durante,2
Esposito,esposito,2
Evangelisti,evangelisti,2
Fabbri,fabbri,4
Fabiani,fabiani,1
Fadda,fadda,1
Falanga,falanga,1
Falco,falco,2
Falcone,falcone,1
Fanti,fanti,1
Farina,farina,4
Fasano,fasano,1
Fattori,fattori,1
Fausti,fausti,1
Favero,favero,1
Fedele,fedele,1
Federici,federici,2
Felici,felici,1
Ferrante,ferrante,2
Ferrara,ferrara,4
Ferrari,ferrari,4
Ferraris,ferraris,1
Ferraro,ferraro,4
Ferretti,ferretti,4
Ferri,ferri,4
Filippi,filippi,2
Filippini,filippini,1
Finocchiaro,finocchiaro,1
Fiore,fiore,2
Fiorentino,fiorentino,4
Fiorini,fiorini,2
Fois,fois,2
Fontana,fontana,4
Forti,forti,2
Franceschi,franceschi,1
Franchi,franchi,1
Franchini,franchini,2
Franco,franco,1
Frasca,frasca,1
Frigerio,frigerio,1
Fumagalli,fumagalli,4
Fusco,fusco,4
Gadda,gadda,2
Galasso,galasso,2
Galli,galli,4
Gallina,gallina,1
Gallo,gallo,4
Gambino,gambino,1
Gargiulo,gargiulo,1
Gaspari,gaspari,1
Gatti,gatti,4
Gavioli,gavioli,1
Gennari,gennari,2
Gentile,gentile,4
Gentili,gentili,1
Gerardi,gerardi,2
Gherardi,gherardi,2
Giacobbe,giacobbe,1
Giannini,giannini,4
Gigli,gigli,1
Giordano,giordano,4
Giorgetti,giorgetti,1
Giudici,giudici,2
Giuliani,giuliani,4
Gobbi,gobbi,2
Gori,gori,4
Grassi,grassi,4
Grasso,grasso,4
Graziani,graziani,4
Greco,greco,4
Grossi,grossi,1
Guarino,guarino,1
Guerra,guerra,2
Guerrieri,guerrieri,1
Guidi,guidi,2
Iacono,iacono,1
Innocenti,innocenti,2
Lai,lai,1
Landi,landi,1
Lanzoni,lanzoni,1
Lazzari,lazzari,4
Leone,leone,4
Leoni,leoni,1
Liberti,liberti,1
Liguori,liguori,1
Lisi,lisi,1
Liverani,liverani,2
Lo Faro,lo-faro,1
Locatelli,locatelli,4
Lolli,lolli,2
Lombardi,lombardi,4
Lombardo,lombardo,4
Longo,longo,2
Lorenzi,lorenzi,2
Lucarelli,lucarelli,1
Luciani,luciani,2
Macchi,macchi,2
Maggi,maggi,2
Magrini,magrini,2
Mainardi,mainardi,1
Malaguti,malaguti,1
Malerba,malerba,1
Mancini,mancini,4
Manfredini,manfredini,2
Maniscalco,maniscalco,1
Manzoni,manzoni,1
Marangoni,marangoni,1
Marchetti,marchetti,4
Marchi,marchi,1
Mari,mari,1
Mariani,mariani,2
Marini,marini,4
Marino,marino,4
Martinelli,martinelli,4
Martini,martini,4
Martino,martino,4
Masi,masi,1
Masini,masini,2
Massa,massa,2
Matteucci,matteucci,2
Mauro,mauro,4
Mazza,mazza,4
Mazzola,mazzola,1
Mazzoni,mazzoni,2
Medici,medici,2
Meloni,meloni,1
Merlo,merlo,1
Messina,messina,4
Micheli,micheli,1
Milani,milani,4
Milazzo,milazzo,1
Minelli,minelli,1
Mocci,mocci,1
Modica,modica,1
Molinari,molinari,4
Montanari,montanari,4
Montanaro,montanaro,4
Montesano,montesano,1
Monti,monti,4
Morelli,morelli,4
Moretti,moretti,4
Mori,mori,1
Mosca,mosca,1
Musolino,musolino,1
Musumeci,musumeci,2
Nanni,nanni,1
Napolitano,napolitano,4
Nardi,nardi,4
Nava,nava,1
Negri,negri,4
Nencini,nencini,1
Neri,neri,4
Nicolo,nicolo,1
Notaro,notaro,1
Oliveto,oliveto,1
Olivieri,olivieri,4
Onofri,onofri,1
Orlando,orlando,4
Orsi,orsi,2
Pace,pace,4
Paci,paci,1
Pagano,pagano,2
Palmieri,palmieri,4
Palumbo,palumbo,4
Paoletti,paoletti,2
Paolini,paolini,2
Parisi,parisi,4
Pastore,pastore,2
Pavan,pavan,4
Pedretti,pedretti,1
Pedroni,pedroni,1
Pellegrini,pellegrini,4
Pellegrino,pellegrino,4
Pepe,pepe,4
Perin,perin,1
Perna,perna,1
Perrotta,perrotta,2
Pini,pini,2
Pinna,pinna,1
Pinto,pinto,1
Piras,piras,4
Pisani,pisani,4
Poli,poli,2
Porcu,porcu,1
Pozzi,pozzi,2
Prati,prati,1
Proietti,proietti,2
Pugliese,pugliese,4
Randazzo,randazzo,1
Ratti,ratti,1
Reali,reali,2
Reggiani,reggiani,2
Renzi,renzi,1
Ricci,ricci,4
Ridolfi,ridolfi,2
Righetti,righetti,2
Rinaldi,rinaldi,2
Rinaldo,rinaldo,1
Riva,riva,4
Rizzi,rizzi,4
Rizzo,rizzo,4
Romagnoli,romagnoli,2
Romano,romano,4
Roncalli,roncalli,1
Ronchi,ronchi,1
Rosa,rosa,2
Rosati,rosati,4
Rossetti,rossetti,4
Rossi,rossi,4
Rossini,rossini,4
Rovelli,rovelli,1
Rovere,rovere,1
Rubino,rubino,2
Ruggeri,ruggeri,4
Russo,russo,4
Sabatini,sabatini,2
Saccà,sacca,1
Sala,sala,4
Salerno,salerno,1
Salis,salis,1
Salvati,salvati,2
Salvemini,salvemini,1
Salvi,salvi,1
Sanfilippo,sanfilippo,1
Sanna,sanna,2
Santi,santi,2
Santoro,santoro,2
Saponara,saponara,1
Sartori,sartori,4
Sassi,sassi,2
Savini,savini,2
Scalia,scalia,1
Scarpa,scarpa,2
Schiavone,schiavone,2
Sciacca,sciacca,1
Scognamiglio,scognamiglio,1
Sechi,sechi,1
Serra,serra,4
Signorelli,signorelli,2
Silvestri,silvestri,4
Simeoni,simeoni,1
Simonetti,simonetti,2
Solari,solari,2
Sorrentino,sorrentino,2
Spada,spada,2
Spinelli,spinelli,4
Stefanelli,stefanelli,2
Storti,storti,2
Taddei,taddei,2
Tamburini,tamburini,2
Tarantino,tarantino,1
Tedeschi,tedeschi,2
Testa,testa,4
Todaro,todaro,1
Tosi,tosi,1
Trapanese,trapanese,1
Trentin,trentin,1
Trevisàn,trevisan,1
Vaccaro,vaccaro,4
Valenti,valenti,1
Valentini,valentini,4
Valle,valle,2
Valli,valli,2
Venturi,venturi,4
Verdi,verdi,1
Vianello,vianello,1
Villa,villa,4
Villani,villani,1
Vinci,vinci,1
Vitale,vitale,4
Vitali,vitali,4
Volpe,volpe,4
Zaccaria,zaccaria,1
Zanetti,zanetti,4
Zangari,zangari,1
Zanini,zanini,2
Zannini,zannini,1
Zanon,zanon,2
Zanotti,zanotti,1
Zappa,zappa,1
Zecchi,zecchi,1
Zeni,zeni,1
Zorzi,zorzi,2
