gender,cohort,name,ascii_atom,weight
female,2000-2005,Maria Antonietta,maria-antonietta,1
female,2000-2005,Martina,martina,4
female,2000-2005,Matilde,matilde,2
female,2000-2005,Melissa,melissa,2
female,2000-2005,Michela,michela,2
female,2000-2005,Miriam,miriam,2
female,2000-2005,Nicole,nicole,2
female,2000-2005,Noemi,noemi,4
female,2000-2005,Nora,nora,1
female,2000-2005,Patrizia,patrizia,1
female,2000-2005,Rachele,rachele,2
female,2000-2005,Rebecca,rebecca,2
female,2000-2005,Renata,renata,1
female,2000-2005,Rina,rina,1
female,2000-2005,Rossana,rossana,1
female,2000-2005,Sara,sara,4
female,2000-2005,Serena,serena,2
female,2000-2005,Sofia,sofia,4
female,2000-2005,Valentina,valentina,2
female,2000-2005,Veronica,veronica,2
female,2000-2005,Viola,viola,2
female,2000-2005,Vittoria,vittoria,2
female,2000-2005,Wilma,wilma,1
male,1950-1964,Achille,achille,1
male,1950-1964,Adriano,adriano,2
male,1950-1964,Alberto,alberto,2
male,1950-1964,Aldo,aldo,2
male,1950-1964,Alfonso,alfonso,2
male,1950-1964,Alfredo,alfredo,2
male,1950-1964,Amedeo,amedeo,2
male,1950-1964,Amerigo,amerigo,1
male,1950-1964,Amos,amos,1
male,1950-1964,Angelo,angelo,1
male,1950-1964,Antonio,antonio,4
male,1950-1964,Arduino,arduino,1
male,1950-1964,Armando,armando,2
male,1950-1964,Arturo,arturo,2
male,1950-1964,Attilio,attilio,1
male,1950-1964,Augusto,augusto,2
male,1950-1964,Bruno,bruno,4
male,1950-1964,Carlo,carlo,4
male,1950-1964,Carmelo,carmelo,2
male,1950-1964,Cesare,cesare,1
male,1950-1964,Ciro,ciro,2
male,1950-1964,Claudio,claudio,4
male,1950-1964,Corrado,corrado,1
male,1950-1964,Dario,dario,2
male,1950-1964,Domenico,domenico,2
male,1950-1964,Elio,elio,2
male,1950-1964,Emilio,emilio,2
male,1950-1964,Enrico,enrico,2
male,1950-1964,Enzo,enzo,2
male,1950-1964,Ermanno,ermanno,1
male,1950-1964,Ernesto,ernesto,2
male,1950-1964,Ettore,ettore,2
male,1950-1964,Ezio,ezio,2
male,1950-1964,Felice,felice,2
male,1950-1964,Ferdinando,ferdinando,2
male,1950-1964,Franco,franco,4
male,1950-1964,Gaetano,gaetano,2
male,1950-1964,Gennaro,gennaro,2
male,1950-1964,Giorgio,giorgio,4
male,1950-1964,Giovanni,giovanni,4
male,1950-1964,Giuliano,giuliano,2
male,1950-1964,Giuseppe,giuseppe,4
male,1950-1964,Guido,guido,1
male,1950-1964,Ignazio,ignazio,2
male,1950-1964,Ilario,ilario,1
male,1950-1964,Italo,italo,1
male,1950-1964,Luca,luca,2
male,1950-1964,Luciano,luciano,4
male,1950-1964,Luigi,luigi,4
male,1950-1964,Marcello,marcello,2
male,1950-1964,Marino,marino,1
male,1950-1964,Mario,mario,4
male,1950-1964,Massimo,massimo,4
male,1950-1964,Maurizio,maurizio,2
male,1950-1964,Mauro,mauro,2
male,1950-1964,Michele,michele,4
male,1950-1964,Norberto,norberto,1
male,1950-1964,Orazio,orazio,1
male,1950-1964,Ottavio,ottavio,1
male,1950-1964,Paolo,paolo,4
male,1950-1964,Pasquale,pasquale,2
male,1950-1964,Piero,piero,1
male,1950-1964,Pietro,pietro,2
male,1950-1964,Raffaele,raffaele,2
male,1950-1964,Renato,renato,4
male,1950-1964,Riccardo,riccardo,2
male,1950-1964,Roberto,roberto,4
male,1950-1964,Rocco,rocco,2
male,1950-1964,Rosario,rosario,2
male,1950-1964,Salvatore,salvatore,4
male,1950-1964,Saverio,saverio,2
male,1950-1964,Sergio,sergio,4
male,1950-1964,Silvano,silvano,2
male,1950-1964,Silvio,silvio,1
male,1950-1964,Stefano,stefano,2
male,1950-1964,Tiziano,tiziano,1
male,1950-1964,Umberto,umberto,2
male,1950-1964,Vincenzo,vincenzo,4
male,1950-1964,Vito,vito,1
male,1950-1964,Vittorio,vittorio,4
male,1965-1979,Adriano,adriano,2
male,1965-1979,Agostino,agostino,1
male,1965-1979,Alberto,alberto,4
male,1965-1979,Aldo,aldo,2
male,1965-1979,Alessandro,alessandro,4
male,1965-1979,Alfredo,alfredo,2
male,1965-1979,Amerigo,amerigo,1
male,1965-1979,Andrea,andrea,4
male,1965-1979,Angelo,angelo,2
male,1965-1979,Antonio,antonio,4
male,1965-1979,Armando,armando,2
male,1965-1979,Arturo,arturo,2
male,1965-1979,Attilio,attilio,2
male,1965-1979,Basilio,basilio,1
male,1965-1979,Bruno,bruno,2
male,1965-1979,Carlo,carlo,4
male,1965-1979,Carmelo,carmelo,2
male,1965-1979,Cesare,cesare,2
male,1965-1979,Ciro,ciro,2
male,1965-1979,Claudio,claudio,4
male,1965-1979,Corrado,corrado,2
male,1965-1979,Cristiano,cristiano,2
male,1965-1979,Daniele,daniele,4
male,1965-1979,Dario,dario,2
male,1965-1979,Davide,davide,2
male,1965-1979,Domenico,domenico,2
male,1965-1979,Elio,elio,2
male,1965-1979,Emilio,emilio,2
male,1965-1979,Enrico,enrico,4
male,1965-1979,Enzo,enzo,2
male,1965-1979,Ernesto,ernesto,2
male,1965-1979,Ettore,ettore,2
male,1965-1979,Ezio,ezio,2
male,1965-1979,Fabio,fabio,4
male,1965-1979,Fabrizio,fabrizio,4
male,1965-1979,Federico,federico,2
male,1965-1979,Filippo,filippo,2
male,1965-1979,Francesco,francesco,4
male,1965-1979,Franco,franco,2
male,1965-1979,Gabriele,gabriele,2
male,1965-1979,Gaetano,gaetano,2
male,1965-1979,Giacomo,giacomo,1
male,1965-1979,Giancarlo,giancarlo,2
male,1965-1979,Gianfranco,gianfranco,2
male,1965-1979,Gianmarco,gianmarco,1
male,1965-1979,Giordano,giordano,1
male,1965-1979,Giorgio,giorgio,2
male,1965-1979,Giovanni,giovanni,4
male,1965-1979,Girolamo,girolamo,1
male,1965-1979,Giuliano,giuliano,2
male,1965-1979,Giuseppe,giuseppe,2
male,1965-1979,Ilario,ilario,1
male,1965-1979,Italo,italo,1
male,1965-1979,Livio,livio,1
male,1965-1979,Luca,luca,4
male,1965-1979,Luciano,luciano,2
male,1965-1979,Luigi,luigi,2
male,1965-1979,Manlio,manlio,1
male,1965-1979,Marco,marco,4
male,1965-1979,Mario,mario,2
male,1965-1979,Massimiliano,massimiliano,2
male,1965-1979,Massimo,massimo,4
male,1965-1979,Maurizio,maurizio,4
male,1965-1979,Mauro,mauro,2
male,1965-1979,Michele,michele,2
male,1965-1979,Moreno,moreno,1
male,1965-1979,Orazio,orazio,1
male,1965-1979,Ottavio,ottavio,1
male,1965-1979,Paolo,paolo,4
male,1965-1979,Pierluigi,pierluigi,1
male,1965-1979,Renato,renato,2
male,1965-1979,Roberto,roberto,4
male,1965-1979,Rocco,rocco,1
male,1965-1979,Ruggero,ruggero,1
male,1965-1979,Sergio,sergio,2
male,1965-1979,Stefano,stefano,4
male,1965-1979,Teodoro,teodoro,1
male,1965-1979,Tiziano,tiziano,1
male,1965-1979,Vincenzo,vincenzo,4
male,1965-1979,Vito,vito,1
male,1980-1989,Achille,achille,1
male,1980-1989,Agostino,agostino,1
male,1980-1989,Alberto,alberto,2
male,1980-1989,Alessandro,alessandro,4
male,1980-1989,Alessio,alessio,4
male,1980-1989,Alfredo,alfredo,1
male,1980-1989,Amos,amos,1
male,1980-1989,Andrea,andrea,4
male,1980-1989,Antonio,antonio,2
male,1980-1989,Arduino,arduino,1
male,1980-1989,Arturo,arturo,1
male,1980-1989,Basilio,basilio,1
male,1980-1989,Carlo,carlo,2
male,1980-1989,Christian,christian,4
male,1980-1989,Claudio,claudio,2
male,1980-1989,Cristiano,cristiano,2
male,1980-1989,Daniele,daniele,4
male,1980-1989,Dario,dario,2
male,1980-1989,Davide,davide,4
male,1980-1989,Diego,diego,2
male,1980-1989,Domenico,domenico,2
male,1980-1989,Edoardo,edoardo,2
male,1980-1989,Emanuele,emanuele,2
male,1980-1989,Emiliano,emiliano,2
male,1980-1989,Emilio,emilio,1
male,1980-1989,Enrico,enrico,2
male,1980-1989,Ernesto,ernesto,1
male,1980-1989,Fabio,fabio,4
male,1980-1989,Fabrizio,fabrizio,2
male,1980-1989,Federico,federico,4
male,1980-1989,Filippo,filippo,2
male,1980-1989,Flavio,flavio,2
male,1980-1989,Francesco,francesco,4
male,1980-1989,Franco,franco,2
male,1980-1989,Gabriele,gabriele,4
male,1980-1989,Gerardo,gerardo,1
male,1980-1989,Giacomo,giacomo,2
male,1980-1989,Giancarlo,giancarlo,2
male,1980-1989,Gianluca,gianluca,2
male,1980-1989,Giorgio,giorgio,2
male,1980-1989,Giovanni,giovanni,2
male,1980-1989,Girolamo,girolamo,1
male,1980-1989,Giuliano,giuliano,2
male,1980-1989,Giuseppe,giuseppe,2
male,1980-1989,Italo,italo,1
male,1980-1989,Lorenzo,lorenzo,2
male,1980-1989,Luca,luca,4
male,1980-1989,Luciano,luciano,2
male,1980-1989,Luigi,luigi,2
male,1980-1989,Manlio,manlio,1
male,1980-1989,Manuel,manuel,2
male,1980-1989,Marcello,marcello,2
male,1980-1989,Marco,marco,4
male,1980-1989,Mario,mario,2
male,1980-1989,Massimiliano,massimiliano,4
male,1980-1989,Matteo,matteo,4
male,1980-1989,Mattia,mattia,2
male,1980-1989,Maurizio,maurizio,2
male,1980-1989,Mauro,mauro,2
male,1980-1989,Michele,michele,4
male,1980-1989,Mirko,mirko,2
male,1980-1989,Nicola,nicola,4
male,1980-1989,Norberto,norberto,1
male,1980-1989,Noè,noe,1
male,1980-1989,Orazio,orazio,1
male,1980-1989,Paolo,paolo,2
male,1980-1989,Pietro,pietro,1
male,1980-1989,Renato,renato,1
male,1980-1989,Riccardo,riccardo,2
male,1980-1989,Roberto,roberto,4
male,1980-1989,Salvatore,salvatore,2
male,1980-1989,Sergio,sergio,2
male,1980-1989,Silvano,silvano,1
male,1980-1989,Simone,simone,4
male,1980-1989,Stefano,stefano,4
male,1980-1989,Tommaso,tommaso,2
male,1980-1989,Umberto,umberto,2
male,1980-1989,Valerio,valerio,4
male,1980-1989,Vincenzo,vincenzo,2
male,1980-1989,Vito,vito,1
male,1990-1999,Alberto,alberto,2
male,1990-1999,Alessandro,alessandro,4
male,1990-1999,Alessio,alessio,4
male,1990-1999,Amos,amos,1
male,1990-1999,Andrea,andrea,4
male,1990-1999,Antonio,antonio,2
male,1990-1999,Armando,armando,1
male,1990-1999,Basilio,basilio,1
male,1990-1999,Carlo,carlo,2
male,1990-1999,Christian,christian,2
male,1990-1999,Claudio,claudio,2
male,1990-1999,Cristiano,cristiano,2
male,1990-1999,Daniele,daniele,2
male,1990-1999,Dario,dario,2
male,1990-1999,Davide,davide,4
male,1990-1999,Diego,diego,2
male,1990-1999,Dino,dino,1
male,1990-1999,Domenico,domenico,2
male,1990-1999,Edoardo,edoardo,4
male,1990-1999,Eliseo,eliseo,1
male,1990-1999,Emanuele,emanuele,2
male,1990-1999,Emiliano,emiliano,2
male,1990-1999,Enrico,enrico,2
male,1990-1999,Ernesto,ernesto,1
male,1990-1999,Fabio,fabio,2
male,1990-1999,Fabrizio,fabrizio,2
male,1990-1999,Federico,federico,4
male,1990-1999,Filippo,filippo,4
male,1990-1999,Flavio,flavio,2
male,1990-1999,Francesco,francesco,4
male,1990-1999,Gabriele,gabriele,4
male,1990-1999,Gerardo,gerardo,1
male,1990-1999,Giacomo,giacomo,4
male,1990-1999,Gianluca,gianluca,2
male,1990-1999,Giorgio,giorgio,2
male,1990-1999,Giovanni,giovanni,2
male,1990-1999,Giulio,giulio,1
male,1990-1999,Giuseppe,giuseppe,2
male,1990-1999,Italo,italo,1
male,1990-1999,Jacopo,jacopo,2
male,1990-1999,Kevin,kevin,2
male,1990-1999,Leonardo,leonardo,4
male,1990-1999,Lorenzo,lorenzo,4
male,1990-1999,Luca,luca,4
male,1990-1999,Luciano,luciano,1
male,1990-1999,Manlio,manlio,1
male,1990-1999,Manuel,manuel,2
male,1990-1999,Marcello,marcello,2
male,1990-1999,Marco,marco,4
male,1990-1999,Mario,mario,1
male,1990-1999,Massimiliano,massimiliano,2
male,1990-1999,Matteo,matteo,4
male,1990-1999,Mattia,mattia,4
male,1990-1999,Maurizio,maurizio,2
male,1990-1999,Michele,michele,2
male,1990-1999,Mirko,mirko,1
male,1990-1999,Niccolò,niccolo,2
male,1990-1999,Nicola,nicola,2
male,1990-1999,Nicolò,nicolo,1
male,1990-1999,Paolo,paolo,2
male,1990-1999,Pierluigi,pierluigi,1
male,1990-1999,Piero,piero,1
male,1990-1999,Pietro,pietro,2
male,1990-1999,Riccardo,riccardo,4
male,1990-1999,Roberto,roberto,2
male,1990-1999,Rosario,rosario,1
male,1990-1999,Salvatore,salvatore,2
male,1990-1999,Samuele,samuele,2
male,1990-1999,Sebastiano,sebastiano,2
male,1990-1999,Sergio,sergio,2
male,1990-1999,Silvio,silvio,1
male,1990-1999,Simone,simone,4
male,1990-1999,Stefano,stefano,4
male,1990-1999,Tiziano,tiziano,1
male,1990-1999,Tommaso,tommaso,4
male,1990-1999,Valerio,valerio,2
male,1990-1999,Vincenzo,vincenzo,2
male,1990-1999,Vito,vito,1
male,1990-1999,Vittorio,vittorio,2
male,1990-1999,Walter,walter,2
male,2000-2005,Achille,achille,1
male,2000-2005,Agostino,agostino,1
male,2000-2005,Alberto,alberto,2
male,2000-2005,Alessandro,alessandro,4
male,2000-2005,Alessio,alessio,4
male,2000-2005,Alfredo,alfredo,1
male,2000-2005,Amerigo,amerigo,1
male,2000-2005,Andrea,andrea,4
